;hprd;dip;intact;bind;mint;imex;uniprotpp;corum;innatedb;intcomplex;bhf_ucl;hpidb;matrixdb;bar;mbinfo;bind_translation;mpidb
hprd;1449;5;24;3;4;20;7;39;0;8;0;0;0;0;0;0;0
dip;;1202;994;6;21;995;15;67;6;29;1;1;11;1;0;0;0
intact;;;16919;17;1937;16095;1192;236;30;93;80;188;718;32;20;0;2
bind;;;;153;4;14;2;50;1;5;0;0;0;0;0;2;0
mint;;;;;1946;1810;12;38;2;19;0;1;19;0;0;0;0
imex;;;;;;16932;981;195;30;94;88;191;710;38;20;0;2
uniprotpp;;;;;;;1235;52;3;23;0;0;18;0;0;0;0
corum;;;;;;;;1876;12;87;2;0;0;1;1;0;0
innatedb;;;;;;;;;1285;2;1;0;0;0;0;0;0
intcomplex;;;;;;;;;;618;3;0;0;1;0;0;0
bhf_ucl;;;;;;;;;;;88;0;1;38;0;0;0
hpidb;;;;;;;;;;;;191;0;0;0;0;0
matrixdb;;;;;;;;;;;;;897;0;0;0;0
bar;;;;;;;;;;;;;;38;0;0;0
mbinfo;;;;;;;;;;;;;;;20;0;0
bind_translation;;;;;;;;;;;;;;;;4;0
mpidb;;;;;;;;;;;;;;;;;2
Exclusive to source;1391;204;398;93;0;760;0;1525;1245;471;0;0;171;0;0;2;0
